,hiddenLayerOne,learnRate,hiddenLayerTwo,hiddenLayerThree,hiddenLayerFour,hiddenLayerFive,hiddenLayerSix,hiddenLayerSeven,hiddenLayerEight,dropout,epochs,batchs,regul,accuracy,AUC,recall,precision,F1,meanRec,meanAcc,meanPrec,meanAUC,meanF1
97,3,0.007,4,4,4,4,4,4,3,0.0,10,32,0.0,[0.73333335 0.83333337 0.75555557 0.81111115 0.74157304],[0.7962963  0.89993691 0.8348214  0.85060155 0.88025784],[0.66666669 0.95833337 0.7647059  0.72727275 0.9545455 ],[0.40000004 0.62162161 0.65000004 0.5925926  0.48837209],[0.5        0.75409836 0.7027027  0.65306122 0.64615385],0.8143048405647277,0.7749812960624695,0.5505172729492187,0.8523828029632569,0.6512032268004164
2,2,0.007,5,4,5,4,5,4,2,0.0,20,16,0.0,[0.82222223 0.82222223 0.62222224 0.81111115 0.78651685],[0.86381161 0.88289142 0.5        0.88736629 0.8531208 ],[0.77777779 0.83333337 0.         0.9545455  0.9545455 ],[0.53846157 0.625      0.         0.56756759 0.53846157],[0.63636364 0.71428571 0.         0.71186441 0.68852459],0.7040404319763184,0.7728589415550232,0.45389814376831056,0.7974380254745483,0.5502076695185891
36,2,0.007,4,4,4,4,4,4,2,0.1,10,16,0.0,[0.80000001 0.77777779 0.77777779 0.75555557 0.75280899],[0.87924379 0.85732323 0.83429611 0.5        0.86295795],[0.94444448 0.95833337 0.88235295 0.         0.90909094],[0.5        0.54761904 0.65217394 0.         0.5       ],[0.65384615 0.6969697  0.75       0.         0.64516129],0.738844347000122,0.7727840304374695,0.43995859622955324,0.7867642164230346,0.5491954282276863
118,3,0.007,4,5,4,5,4,5,3,0.1,20,16,0.0,[0.84444445 0.78888893 0.73333335 0.77777779 0.71910113],[0.87037027 0.87121212 0.75525212 0.83255351 0.81343281],[0.8888889  1.         0.7647059  0.90909094 1.        ],[0.5714286  0.55813956 0.61904764 0.52631581 0.46808514],[0.69565217 0.71641791 0.68421053 0.66666667 0.63768116],0.9125371456146241,0.7727091312408447,0.5486033499240875,0.8285641670227051,0.6801256873527101
52,2,0.007,4,5,4,5,4,5,2,0.1,10,16,0.0,[0.85555559 0.73333335 0.80000001 0.77777779 0.69662923],[0.90625    0.5        0.82825625 0.82386369 0.79850745],[0.8888889  0.         0.97058827 0.86363637 1.        ],[0.5925926  0.         0.65999997 0.52777779 0.44897959],[0.71111111 0.         0.78571429 0.65517241 0.61971831],0.7446227073669434,0.7726591944694519,0.4458699882030487,0.7713754773139954,0.554343224095531
54,2,0.007,4,5,4,5,4,5,2,0.1,20,16,0.0,[0.80000001 0.77777779 0.73333335 0.77777779 0.76404494],[0.5        0.85606062 0.80540961 0.84224594 0.84328359],[0.         0.91666669 0.67647058 0.9545455  1.        ],[0.         0.55000001 0.6388889  0.52500004 0.51162791],[0.         0.6875     0.65714286 0.67741935 0.67692308],0.7095365524291992,0.7705867767333985,0.4451033711433411,0.7693999528884887,0.5397970577809288
126,3,0.004,4,5,4,5,4,5,3,0.1,20,16,0.0,[0.85555559 0.73333335 0.62222224 0.8888889  0.75280899],[0.89544749 0.5        0.57300425 0.89304811 0.83141124],[0.94444448 0.         0.         0.72727275 0.77272731],[0.58620691 0.         0.         0.80000001 0.5       ],[0.72340426 0.         0.         0.76190476 0.60714286],0.48888890743255614,0.7705618143081665,0.37724138498306276,0.7385822176933289,0.4184903748733536
78,3,0.004,5,4,5,4,5,4,3,0.1,20,16,0.0,[0.85555559 0.67777777 0.78888893 0.78888893 0.74157304],[0.898534   0.780303   0.79753155 0.87433159 0.83582085],[0.72222221 1.         0.79411763 0.9545455  1.        ],[0.61904764 0.4528302  0.69230771 0.53846157 0.48888889],[0.66666667 0.62337662 0.73972603 0.68852459 0.65671642],0.8941770672798157,0.7705368518829345,0.5583072006702423,0.8373041987419129,0.6750020651029864
79,3,0.004,5,4,5,4,5,4,3,0.1,20,32,0.0,[0.66666669 0.84444445 0.77777779 0.78888893 0.76404494],[0.77083331 0.92960858 0.8035714  0.84893048 0.85108542],[0.77777779 0.95833337 0.79411763 0.90909094 0.9545455 ],[0.34999999 0.6388889  0.67500001 0.54054058 0.51219517],[0.48275862 0.76666667 0.72972973 0.6779661  0.66666667],0.8787730455398559,0.7683645606040954,0.5433249294757843,0.8408058404922485,0.6647575570895267
32,2,0.007,4,4,4,4,4,4,2,0.0,10,16,0.0,[0.82222223 0.73333335 0.77777779 0.75555557 0.75280899],[0.82368827 0.5        0.8487395  0.5        0.86126196],[0.77777779 0.         0.64705884 0.         0.90909094],[0.53846157 0.         0.73333335 0.         0.5       ],[0.63636364 0.         0.6875     0.         0.64516129],0.46678551435470583,0.7683395862579345,0.35435898303985597,0.7067379474639892,0.39380498533724334
4,2,0.007,5,4,5,4,5,4,2,0.1,10,16,0.0,[0.80000001 0.85555559 0.62222224 0.75555557 0.7977528 ],[0.84413582 0.86553031 0.5        0.83957219 0.86092263],[0.8888889  0.875      0.         0.90909094 0.9545455 ],[0.5        0.6774193  0.         0.5        0.55263156],[0.64       0.76363636 0.         0.64516129 0.7       ],0.7255050659179687,0.7662172436714172,0.44601017236709595,0.7820321917533875,0.5497595307917889
125,3,0.004,4,5,4,5,4,5,3,0.1,10,32,0.0,[0.68888891 0.86666667 0.72222227 0.78888893 0.76404494],[0.77430552 0.92960864 0.78545165 0.88201869 0.84328353],[0.83333331 0.91666669 0.70588237 0.9545455  1.        ],[0.375      0.6875     0.61538464 0.53846157 0.51162791],[0.51724138 0.78571429 0.65753425 0.68852459 0.67692308],0.8820855736732482,0.7661423444747925,0.5455948233604431,0.8429336071014404,0.6651875157373969
103,3,0.007,4,4,4,4,4,4,3,0.1,20,32,0.0,[0.81111115 0.78888893 0.62222224 0.84444445 0.76404494],[0.83950621 0.89551765 0.5        0.83890373 0.82632297],[0.66666669 0.91666669 0.         0.63636363 0.9545455 ],[0.52173913 0.56410259 0.         0.69999999 0.51219517],[0.58536585 0.6984127  0.         0.66666667 0.66666667],0.6348484992980957,0.7661423444747925,0.45960737466812135,0.7800501108169555,0.5234223770809135
72,3,0.004,5,4,5,4,5,4,3,0.0,10,16,0.0,[0.80000001 0.73333335 0.75555557 0.78888893 0.75280899],[0.82793206 0.5        0.81591392 0.82586896 0.5       ],[0.72222221 0.         0.7352941  0.86363637 0.        ],[0.5        0.         0.65789473 0.54285717 0.        ],[0.59090909 0.         0.69444444 0.66666667 0.        ],0.4642305374145508,0.7661173701286316,0.34015038013458254,0.6939429879188538,0.3904040404040404
66,3,0.007,5,4,5,4,5,4,3,0.0,20,16,0.0,[0.81111115 0.83333337 0.62222224 0.75555557 0.7977528 ],[0.84336418 0.88636363 0.5        0.5        0.86533237],[0.83333331 1.         0.         0.         0.9545455 ],[0.51724136 0.61538464 0.         0.         0.55263156],[0.63829787 0.76190476 0.         0.         0.7       ],0.5575757622718811,0.7639950275421142,0.33705151081085205,0.7190120339393615,0.4200405268490376
69,3,0.007,5,4,5,4,5,4,3,0.1,10,32,0.0,[0.68888891 0.83333337 0.73333335 0.80000001 0.76404494],[0.79706788 0.92582077 0.75997901 0.88235295 0.8402307 ],[0.8888889  0.95833337 0.7647059  1.         0.86363637],[0.38095239 0.62162161 0.61904764 0.55000001 0.51351351],[0.53333333 0.75409836 0.68421053 0.70967742 0.6440678 ],0.8951129078865051,0.7639201164245606,0.5370270311832428,0.8410902619361877,0.6650774872539736
65,3,0.007,5,4,5,4,5,4,3,0.0,10,32,0.0,[0.82222223 0.73333335 0.75555557 0.75555557 0.75280899],[0.85918206 0.5        0.81250006 0.5        0.5       ],[0.77777779 0.         0.67647058 0.         0.        ],[0.53846157 0.         0.67647058 0.         0.        ],[0.63636364 0.         0.67647059 0.         0.        ],0.29084967374801635,0.7638951420783997,0.24298642873764037,0.6343364238739013,0.2625668449197861
115,3,0.007,4,5,4,5,4,5,3,0.0,20,32,0.0,[0.80000001 0.86666667 0.62222224 0.80000001 0.73033708],[0.5        0.86174238 0.5        0.87733966 0.81987786],[0.         0.75       0.         0.86363637 0.9545455 ],[0.         0.75       0.         0.55882353 0.47727275],[0.         0.75       0.         0.67857143 0.63636364],0.5136363744735718,0.7638452053070068,0.3572192549705505,0.7117919802665711,0.4129870129870131
108,3,0.004,4,4,4,4,4,4,3,0.1,10,16,0.0,[0.81111115 0.73333335 0.72222227 0.75555557 0.78651685],[0.87461424 0.5        0.78939068 0.84558827 0.85142481],[0.8888889 0.        0.7647059 1.        0.9545455],[0.51612902 0.         0.60465115 0.5        0.53846157],[0.65306122 0.         0.67532468 0.66666667 0.68852459],0.7216280579566956,0.7617478370666504,0.43184834718704224,0.7722036004066467,0.5367154313290144
20,2,0.007,5,5,5,5,5,5,2,0.1,10,16,0.0,[0.80000001 0.73333335 0.77777779 0.74444449 0.75280899],[0.86728394 0.49242425 0.81355035 0.83723265 0.5       ],[0.66666669 0.         0.88235295 0.9545455  0.        ],[0.5        0.         0.65217394 0.48837209 0.        ],[0.57142857 0.         0.75       0.64615385 0.        ],0.5007130265235901,0.7616729259490966,0.3281092047691345,0.7020982384681702,0.39351648351648355
28,2,0.004,5,5,5,5,5,5,2,0.1,10,16,0.0,[0.83333337 0.80000001 0.67777777 0.77777779 0.71910113],[0.89390427 0.84974748 0.73214287 0.85360962 0.81207597],[0.66666669 0.91666669 0.94117647 1.         0.9545455 ],[0.5714286  0.57894737 0.54237288 0.52380955 0.46666667],[0.61538462 0.70967742 0.68817204 0.6875     0.62686567],0.8958110690116883,0.761598014831543,0.5366450130939484,0.8282960414886474,0.6655199498783995
77,3,0.004,5,4,5,4,5,4,3,0.1,10,32,0.0,[0.75555557 0.83333337 0.75555557 0.76666671 0.69662923],[0.78163582 0.89993691 0.80147058 0.85260695 0.7886703 ],[0.6111111  0.83333337 0.91176468 0.9545455  0.9545455 ],[0.42307693 0.64516127 0.62       0.51219517 0.44680855],[0.5        0.72727273 0.73809524 0.66666667 0.60869565],0.8530600309371948,0.7615480899810791,0.5294483840465546,0.8248641133308411,0.648146056841709
39,2,0.007,4,4,4,4,4,4,2,0.1,20,32,0.0,[0.84444445 0.81111115 0.62222224 0.78888893 0.73033708],[0.8912037  0.87121212 0.5        0.84425133 0.83683848],[0.94444448 1.         0.         0.9545455  0.90909094],[0.56666672 0.58536589 0.         0.53846157 0.47619048],[0.70833333 0.73846154 0.         0.68852459 0.625     ],0.7616161823272705,0.7594007730484009,0.43333693146705626,0.7887011289596557,0.5520638923917612
