,hiddenLayerOne,learnRate,hiddenLayerTwo,hiddenLayerThree,hiddenLayerFour,dropout,epochs,batchs,regul,accuracy,AUC,recall,precision,F1,meanRec,meanAcc,meanPrec,meanAUC,meanF1
7,4,0.007,6,4,4,0.0,20,32,0.05,[0.78888893 0.26666668 0.73333335 0.27777779 0.74157304],[0.49305555 0.5        0.84427524 0.52205884 0.80325645],[0.         1.         0.79411763 1.         0.86363637],[0.         0.26666668 0.61363637 0.25287357 0.48717949],[0.         0.42105263 0.69230769 0.40366972 0.62295082],0.7315508008003235,0.5616479575634002,0.32407122254371645,0.632529217004776,0.42799617366588266
55,4,0.007,4,3,4,0.0,20,32,0.05,[0.77777779 0.72222227 0.75555557 0.24444444 0.26966292],[0.87731481 0.78472233 0.79017854 0.5        0.49253732],[0.83333331 0.75       0.79411763 1.         0.9545455 ],[0.46875    0.48648649 0.64285713 0.24444444 0.24705882],[0.6        0.59016393 0.71052632 0.39285714 0.39252336],0.8663992881774902,0.5539325982332229,0.41791937947273256,0.6889505982398987,0.5372141515117654
39,4,0.007,4,4,4,0.0,20,32,0.05,[0.80000001 0.26666668 0.72222227 0.26666668 0.69662923],[0.5        0.5        0.77022064 0.5147059  0.76763916],[0.         1.         0.70588237 1.         0.81818187],[0.         0.26666668 0.61538464 0.25       0.43902442],[0.         0.42105263 0.65753425 0.4        0.57142857],0.7048128485679627,0.5504369735717773,0.3142151474952698,0.6105131387710572,0.41000308991657225
47,4,0.007,4,4,4,0.1,20,32,0.05,[0.80000001 0.26666668 0.62222224 0.77777779 0.25842696],[0.49421299 0.5        0.5        0.85294116 0.48439625],[0.         1.         0.         0.90909094 0.9545455 ],[0.         0.26666668 0.         0.52631581 0.24418604],[0.         0.42105263 0.         0.66666667 0.38888889],0.5727272868156433,0.5450187385082245,0.20743370652198792,0.5663100779056549,0.2953216374269006
31,4,0.007,6,3,4,0.1,20,32,0.05,[0.80000001 0.26666668 0.74444449 0.24444444 0.65168542],[0.5        0.5        0.81066179 0.5        0.74457264],[0.         1.         0.82352942 1.         0.9545455 ],[0.         0.26666668 0.62222224 0.24444444 0.41176471],[0.         0.42105263 0.70886076 0.39285714 0.57534247],0.755614984035492,0.5414482086896897,0.3090196162462234,0.6110468864440918,0.4196225999366371
110,3,0.007,4,4,3,0.1,20,16,0.05,[0.81111115 0.26666668 0.62222224 0.74444449 0.24719101],[0.89506173 0.5        0.50892854 0.85294116 0.5       ],[0.94444448 1.         0.         1.         1.        ],[0.5151515  0.26666668 0.         0.48888889 0.24719101],[0.66666667 0.42105263 0.         0.65671642 0.3963964 ],0.7888888955116272,0.5383271157741547,0.30357961654663085,0.6513862848281861,0.42816642251049164
46,4,0.007,4,4,4,0.1,20,16,0.05,[0.76666671 0.26666668 0.62222224 0.75555557 0.25842696],[0.84953701 0.5        0.51785713 0.5147059  0.50746274],[0.94444448 1.         0.         0.         1.        ],[0.45945948 0.26666668 0.         0.         0.25      ],[0.61818182 0.42105263 0.         0.         0.4       ],0.5888888955116272,0.5339076340198516,0.19522523283958435,0.5779125571250916,0.2878468899521531
85,3,0.007,6,3,3,0.0,10,32,0.05,[0.2        0.73333335 0.62222224 0.33333334 0.75280899],[0.5        0.5        0.5        0.56049466 0.5       ],[1.        0.        0.        0.9545455 0.       ],[0.2        0.         0.         0.26250002 0.        ],[0.33333333 0.         0.         0.41176471 0.        ],0.39090909957885744,0.5283395856618881,0.09250000417232514,0.5120989322662354,0.14901960784313728
79,3,0.007,6,4,3,0.1,20,32,0.05,[0.80000001 0.26666668 0.77777779 0.24444444 0.24719101],[0.5        0.5        0.81775212 0.5        0.48507464],[0.         1.         0.85294116 1.         1.        ],[0.         0.26666668 0.65909094 0.24444444 0.24719101],[0.         0.42105263 0.74358974 0.39285714 0.3963964 ],0.7705882310867309,0.4672159880399704,0.28347861468791963,0.5605653524398804,0.390779182884446
119,3,0.007,4,3,3,0.0,20,32,0.05,[0.80000001 0.26666668 0.72222227 0.25555557 0.24719101],[0.5        0.5        0.79070377 0.50735295 0.5       ],[0.         1.         0.85294116 1.         1.        ],[0.         0.26666668 0.59183675 0.24719101 0.24719101],[0.         0.42105263 0.69879518 0.3963964  0.3963964 ],0.7705882310867309,0.4583271086215973,0.2705770909786224,0.5596113443374634,0.3825281210189263
127,3,0.007,4,3,3,0.1,20,32,0.05,[0.83333337 0.26666668 0.62222224 0.24444444 0.24719101],[0.68904316 0.5        0.5        0.5        0.5       ],[0.44444445 1.         0.         1.         1.        ],[0.61538464 0.26666668 0.         0.24444444 0.24719101],[0.51612903 0.42105263 0.         0.39285714 0.3963964 ],0.6888888895511627,0.44277155101299287,0.2747373551130295,0.537808632850647,0.3452870406181102
15,4,0.007,6,4,4,0.1,20,32,0.05,[0.80000001 0.26666668 0.64444447 0.24444444 0.24719101],[0.5        0.5        0.70798314 0.5        0.5       ],[0.         1.         0.79411763 1.         1.        ],[0.         0.26666668 0.51923078 0.24444444 0.24719101],[0.         0.42105263 0.62790698 0.39285714 0.3963964 ],0.7588235259056091,0.44054932296276095,0.2555065840482712,0.5415966272354126,0.3676426295153345
111,3,0.007,4,4,3,0.1,20,32,0.05,[0.73333335 0.26666668 0.62222224 0.24444444 0.24719101],[0.82561725 0.5        0.5        0.5        0.5       ],[0.94444448 1.         0.         1.         1.        ],[0.42500001 0.26666668 0.         0.24444444 0.24719101],[0.5862069  0.42105263 0.         0.39285714 0.3963964 ],0.7888888955116272,0.42277154624462127,0.2366604298353195,0.565123450756073,0.3593026134768421
