,num_in_trans,num_out_trans,avg_trans_out,avg_trans_in,sum_trans_in,max_trans_out,max_trans_in,std_trans_in,std_trans_out,min_trans_out,min_trans_in,unique_tpartn_out,unique_tpartn_in,avg_transcost_out,avg_transcost_in,max_transcost_out,std_transcost_out,duration_out,num_in_trans_1neighb,avg_oneNightStands_out,avg_oneNightStands_in,max_tx_out_neighb,max_tx_in_neighb,sum_tx_in_neighb,sum_tx_out_neighb,std_tx_out_neighb,unique_tx_out_neighb,avg_txcost_out_neighb,max_txcost_out_neighb,num_in_transERC,num_out_transERC,ERCunique_tpartn_out,ERCunique_tpartn_in,ERCavg_transcost_out,ERCavg_transcost_in,ERCmax_transcost_out,ERC_nb_tkn_tot,high_pressure_sells,high_pressure_buys,0,1,2,3,4,5,6,7
15,18,1408,372.7902403258939,33304.60169052516,599482.8304294529,13327.293489874774,87844.47442500001,29439.42958655449,1016.3101154107712,4.070112109396252,4.0929,801,7,0.6224827225107955,0.577402058967475,43.346291221674996,1.4896781538610502,1375.45,26.180522565320665,0.06578947368421052,0.0,5447.9312455876425,28590924.06629839,30341187.676696394,38289.60675043439,852.7202883493451,14.988038277511961,6.124020602551067,39.741716438189314,275,1187,737,212,4.2133500507426165,4.210894704779004,122.67491357304928,15,7,0,-2.3625624,-2.313717,-1.5439435,4.984685,1.596311,-3.2845347,2.4397502,1.8985657999999999
122,66,777,1190.6378878433825,9953.98287572828,656962.8697980664,137355.24,112577.922428598,17803.359963073584,6618.120699331581,7.911657824000001,17.7033,108,26,29.94733966073155,6.1392996280110275,453.96515247720004,36.16900807606767,4267.966666666666,883.2980132450331,0.0,0.3103448275862069,27206.38799838244,42445690.35423731,37413680.670908906,15596.64233176038,4250.990994195273,3.248,13.307722821260526,65.81236706687051,472,475,84,108,33.47099498973832,40.85761095836634,173.04766335465,146,9,10,-0.62849134,0.30865496,1.8849779999999998,0.9099568000000001,1.1280678999999998,-0.9399042999999999,0.25771156,-0.31590155
45,6,303,3871.224050153188,2302.667014533122,13816.00208719873,325368.715,12611.676068825,5068.430806087921,23701.639597123893,151.71599999999995,6.599744525378102,56,6,20.50250229965161,10.68080697775,143.3175417014,20.412166158931647,2582.516666666667,755.6811594202899,0.015873015873015872,0.2222222222222222,176397.36684287764,32206.29583200497,448231.94442042033,61868.67814952447,35676.67987779047,1.9365079365079363,9.994333429116578,59.92663657645575,98,162,48,45,28.253779510875912,197.10037852146274,143.3175417014,47,3,10,-0.9222743,-0.18013449,2.817593,2.312533,-1.4973788000000001,-1.0813355,0.6698328,-0.18368635
6,86,258,66.62299841764079,132.29369018231762,11377.257355679321,516.4943553,501.33237160499993,128.8585700004378,106.93549292741129,17.6825,7.0227895920000005,34,14,6.3728691544989955,3.1497468947269307,58.208402648159996,8.275290688057916,7514.516666666666,1394.7826086956522,0.0,0.0,637.8051103409869,29098162.32714791,59087660.491616,736.2504648259396,215.72190539838445,1.3142857142857145,10.958449227142296,31.797395793040003,112,48,17,27,7.420703275809555,50.72892525204289,58.20840264816001,27,9,10,0.6889939,0.106445834,2.5132828,2.260536,0.34617624,-0.12787142,1.6277492,0.30331752
165,48,329,611.5656545855172,2379.861983202596,114233.37519372455,25263.84,35001.73823053156,5294.501253046342,1932.718649298513,7.0887899999999995,15.009955253304252,99,8,19.5943855113712,5.953503384369832,105.25899807918002,19.69635650558213,1017.5666666666667,865.4047619047618,0.175,0.14285714285714285,5444.295502121697,23685.527928908763,115500.93755873053,3630.054043246236,5384.881983495035,1.35,3.1075876064368053,8.113852346514497,153,118,61,72,29.84717668943501,87.14092505014506,105.25899807918002,99,2,10,-1.3187122,0.052939884000000006,1.7014151999999998,1.0323728,0.059242304,-0.69929105,-0.12324289,-0.5298067
157,27,144,3760.9551750191554,4882.2312985583085,131820.24506107438,31485.645053502765,27839.030457654102,8667.799238257552,8350.87492802271,3.94727,2.23371,28,10,13.172843006325385,7.549147174644446,256.91656123445404,29.123662768243168,1239.3333333333333,735.8723404255319,0.02564102564102564,0.4,9984.957823284552,42350622.452363536,43046476.97355419,14709.570790560827,3295.5749217963466,1.0769230769230769,7.975345258396986,64.61298501984021,70,57,15,24,15.01892492580633,23.86788242273293,256.91656123445404,20,1,4,-1.0090334,0.16848478,1.6653647,0.49244314,0.36296,-1.8324572000000001,0.35657340000000004,-1.0631618
261,1,2,2977.9615124838,5936.2972899999995,5936.2972899999995,5955.923024967599,5936.2972899999995,0.0,4211.473559179683,5955.923024967599,5936.2972899999995,2,1,9.8835412005,10.95632307,12.34285074,3.4779889048344312,0.5833333333333334,550.6666666666666,0.0,0.0,83081.07351370211,36537200.0,36637777.4,316247.1677431849,7236.061216841723,85.0,18.10959453579732,198.43577021162997,0,0,0,0,0.0,0.0,0.0,0,1,0,-1.2005038000000001,0.09413078,0.9118027,0.106003076,1.5458435,-1.0741571,0.69495124,-2.183714
75,193,1268,294.98188401125094,748.4611865747809,288157.55683129036,20903.449651946925,13652.955218376,1701.510337431645,1259.3082160081728,9.254e-16,0.30904000000000004,234,72,7.2931608909307215,3.6757370417088255,235.50861976915002,15.753270767168512,7259.683333333332,1863.6313993174067,0.0,0.0,25197.740391711166,18149244.13606673,41707158.75238673,27370.137416307432,5836.75729417766,4.323529411764706,10.754732374604325,54.044532497126454,1063,720,129,201,11.077193646610484,18.699942674107472,120.95456985548999,244,10,10,-0.8123526999999999,-0.19887933,0.36990159999999994,0.25192329999999996,-0.16725235,-0.60841805,1.0139532,-2.4787345000000003
10,1,5,10.048559999999998,1831.0903987,1831.0903987,50.2428,1831.0903987,0.0,22.46926323598528,50.2428,1831.0903987,4,1,26.499740688724,9.80256984,57.59683118551999,25.03455403080878,1477.783333333333,884.0,0.25,0.0,0.0,36537200.0,36637777.4,0.0,0.0,0.25,11.080989236250002,11.080989236250002,7,2,1,3,53.43438622546501,31.077242543532854,57.59683118551999,7,1,7,-1.6888366999999997,0.40532643,1.3623737,-0.035216197000000005,1.2531217,-1.3417569,0.9749296999999999,-0.5896241999999999
585,16,137,16.788191459216275,25.58349540944393,409.3359265511026,1319.132,298.179929061,74.50441841514663,125.32937188788294,1.6040999999999994e-13,0.016465,42,9,1.3523796756371695,0.2273464982206425,20.940527553,3.386488362491082,-129.76666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,83,74,29,0.8146090751909651,7.230814920435249,20.940527553,33,5,6,0.52346873,0.3101979,0.48130259999999997,1.6584985,-0.5427755,-0.16640058,2.897421,-1.6001948000000001
