,hiddenLayerOne,learnRate,hiddenLayerTwo,hiddenLayerThree,hiddenLayerFour,hiddenLayerFive,hiddenLayerSix,hiddenLayerSeven,hiddenLayerEight,hiddenLayerNine,hiddenLayerTen,dropout,epochs,batchs,regul,accuracy,AUC,recall,precision,F1,meanRec,meanAcc,meanPrec,meanAUC,meanF1
19,2,0.007,5,5,5,5,5,5,5,5,2,0.0,20,32,0.0,[0.80000001 0.84444445 0.62222224 0.24444444 0.77528089],[0.5        0.90151519 0.5        0.5        0.85074627],[0. 1. 0. 1. 1.],[0.         0.63157892 0.         0.24444444 0.52380955],[0.         0.77419355 0.         0.39285714 0.6875    ],0.6,0.6572784096002579,0.27996658384799955,0.6504522919654846,0.37091013824884794
36,3,0.007,4,4,4,4,4,4,4,4,3,0.1,10,16,0.0,[0.2        0.73333335 0.80000001 0.78888893 0.76404494],[0.5        0.5        0.83167017 0.85026741 0.88364995],[1.         0.         0.85294116 0.9545455  0.9545455 ],[0.2        0.         0.69047618 0.53846157 0.51219517],[0.33333333 0.         0.76315789 0.68852459 0.66666667],0.7524064302444458,0.657253447175026,0.38822658360004425,0.7131175041198731,0.49033649698015525
40,3,0.004,4,4,4,4,4,4,4,4,3,0.0,10,16,0.0,[0.2        0.73333335 0.81111115 0.75555557 0.76404494],[0.5        0.5        0.84532559 0.5        0.85888743],[1.         0.         0.88235295 0.         0.81818187],[0.2        0.         0.69767439 0.         0.51428574],[0.33333333 0.         0.77922078 0.         0.63157895],0.5401069641113281,0.652809002995491,0.2823920279741287,0.640842604637146,0.34882661198450665
35,3,0.007,4,4,4,4,4,4,4,4,3,0.0,20,32,0.0,[0.80000001 0.26666668 0.62222224 0.77777779 0.78651685],[0.5        0.5        0.5        0.85895717 0.82801902],[0.         1.         0.         0.90909094 0.86363637],[0.         0.26666668 0.         0.52631581 0.54285717],[0.         0.42105263 0.         0.66666667 0.66666667],0.5545454621315002,0.6506367146968841,0.2671679317951202,0.6373952388763428,0.3508771929824562
43,3,0.004,4,4,4,4,4,4,4,4,3,0.0,20,32,0.0,[0.84444445 0.82222223 0.62222224 0.24444444 0.71910113],[0.78240752 0.84785354 0.5        0.5        0.7873134 ],[0.66666669 0.91666669 0.         1.         0.81818187],[0.60000002 0.6111111  0.         0.24444444 0.46153846],[0.63157895 0.73333333 0.         0.39285714 0.59016393],0.6803030490875244,0.6504869014024734,0.383418807387352,0.6835148930549622,0.46958667159702533
5,2,0.007,4,4,4,4,4,4,4,4,2,0.1,10,32,0.0,[0.2        0.77777779 0.74444449 0.75555557 0.76404494],[0.5        0.84438133 0.80120796 0.5        0.74423343],[1.         0.91666669 0.85294116 0.         0.72727275],[0.2        0.55000001 0.61702132 0.         0.51612902],[0.33333333 0.6875     0.71604938 0.         0.60377358],0.6993761181831359,0.6483645588159561,0.3766300708055496,0.6779645442962646,0.46813126019100854
28,2,0.004,5,5,5,5,5,5,5,5,2,0.1,10,16,0.0,[0.2        0.81111115 0.77777779 0.75555557 0.69662923],[0.5        0.72948235 0.815126   0.5        0.79443693],[1.         0.5        0.88235295 0.         0.9545455 ],[0.2        0.70588237 0.65217394 0.         0.44680855],[0.33333333 0.58536585 0.75       0.         0.60869565],0.6673796892166137,0.6482147485017776,0.4009729713201523,0.6678090572357178,0.45547896783315667
14,2,0.004,4,4,4,4,4,4,4,4,2,0.1,20,16,0.0,[0.83333337 0.75555557 0.62222224 0.24444444 0.77528089],[0.78742278 0.874053   0.5        0.5        0.85074627],[0.5 1.  0.  1.  1. ],[0.60000002 0.52173913 0.         0.24444444 0.52380955],[0.54545455 0.68571429 0.         0.39285714 0.6875    ],0.7,0.646167305111885,0.3779986292123795,0.7024444103240967,0.4623051948051947
18,2,0.007,5,5,5,5,5,5,5,5,2,0.0,20,16,0.0,[0.83333337 0.26666668 0.62222224 0.75555557 0.73033708],[0.87924385 0.5        0.5        0.5        0.82835817],[0.8888889 1.        0.        0.        1.       ],[0.55172414 0.26666668 0.         0.         0.47826087],[0.68085106 0.42105263 0.         0.         0.64705882],0.5777777791023254,0.6416229903697968,0.2593303382396698,0.6415204048156739,0.34979250378762927
41,3,0.004,4,4,4,4,4,4,4,4,3,0.0,10,32,0.0,[0.2        0.83333337 0.65555555 0.73333335 0.74157304],[0.5        0.91003788 0.57379204 0.82286096 0.8225916 ],[1.         0.95833337 0.23529412 0.86363637 0.90909094],[0.2        0.62162161 0.61538464 0.47499999 0.48780489],[0.33333333 0.75409836 0.34042553 0.61290323 0.63492063],0.7932709604501724,0.6327590614557266,0.4799622267484665,0.7258564949035644,0.5351362173262102
6,2,0.007,4,4,4,4,4,4,4,4,2,0.1,20,16,0.0,[0.80000001 0.26666668 0.62222224 0.75555557 0.70786518],[0.5        0.5        0.5        0.5        0.81343281],[0. 1. 0. 0. 1.],[0.         0.26666668 0.         0.         0.45833334],[0.         0.42105263 0.         0.         0.62857143],0.4,0.6304619371891022,0.14500000476837158,0.562686562538147,0.20992481203007518
8,2,0.004,4,4,4,4,4,4,4,4,2,0.0,10,16,0.0,[0.2        0.73333335 0.62222224 0.75555557 0.75280899],[0.5 0.5 0.5 0.5 0.5],[1. 0. 0. 0. 0.],[0.2 0.  0.  0.  0. ],[0.33333333 0.         0.         0.         0.        ],0.2,0.612784031033516,0.04000000059604645,0.5,0.06666666666666668
24,2,0.004,5,5,5,5,5,5,5,5,2,0.0,10,16,0.0,[0.2        0.73333335 0.62222224 0.75555557 0.74157304],[0.5        0.5        0.5        0.83923793 0.49253732],[1.         0.         0.         0.86363637 0.        ],[0.2 0.  0.  0.5 0. ],[0.33333333 0.         0.         0.63333333 0.        ],0.37272727489471436,0.610536840558052,0.14000000059604645,0.5663550496101379,0.19333333333333333
33,3,0.007,4,4,4,4,4,4,4,4,3,0.0,10,32,0.0,[0.2        0.73333335 0.62222224 0.73333335 0.75280899],[0.5        0.5        0.5        0.86430484 0.5       ],[1.         0.         0.         0.90909094 0.        ],[0.2        0.         0.         0.47619048 0.        ],[0.33333333 0.         0.         0.625      0.        ],0.3818181872367859,0.608339586853981,0.13523809611797333,0.5728609681129455,0.19166666666666665
20,2,0.007,5,5,5,5,5,5,5,5,2,0.1,10,16,0.0,[0.2        0.77777779 0.62222224 0.67777777 0.75280899],[0.5        0.84848481 0.5        0.77573526 0.85820889],[1.         1.         0.         0.90909094 1.        ],[0.2        0.54545456 0.         0.42553192 0.5       ],[0.33333333 0.70588235 0.         0.57971014 0.66666667],0.7818181872367859,0.6061173588037491,0.3341972976922989,0.6964857935905456,0.45711849957374245
42,3,0.004,4,4,4,4,4,4,4,4,3,0.0,20,16,0.0,[0.80000001 0.85555559 0.84444445 0.24444444 0.24719101],[0.5        0.93844694 0.86003149 0.5        0.5       ],[0.         1.         0.88235295 1.         1.        ],[0.         0.64864868 0.75       0.24444444 0.24719101],[0.         0.78688525 0.81081081 0.39285714 0.3963964 ],0.7764705896377564,0.5983271032571793,0.37805682718753814,0.6596956849098206,0.4773899191931979
11,2,0.004,4,4,4,4,4,4,4,4,2,0.0,20,32,0.0,[0.80000001 0.26666668 0.78888893 0.75555557 0.24719101],[0.5        0.5        0.82878149 0.83823526 0.5       ],[0.         1.         0.88235295 1.         1.        ],[0.         0.26666668 0.66666669 0.5        0.24719101],[0.         0.42105263 0.75949367 0.66666667 0.3963964 ],0.7764705896377564,0.571660441160202,0.33610487580299375,0.6334033489227295,0.44872187310561723
23,2,0.007,5,5,5,5,5,5,5,5,2,0.1,20,32,0.0,[0.80000001 0.26666668 0.76666671 0.77777779 0.24719101],[0.5        0.5        0.81591386 0.86965239 0.5       ],[0.         1.         0.85294116 0.9545455  1.        ],[0.         0.26666668 0.64444447 0.52500004 0.24719101],[0.         0.42105263 0.73417722 0.67741935 0.3963964 ],0.7614973306655883,0.571660441160202,0.33666043877601626,0.6371132493019104,0.4458091196007854
34,3,0.007,4,4,4,4,4,4,4,4,3,0.0,20,16,0.0,[0.80000001 0.26666668 0.62222224 0.87777781 0.24719101],[0.5        0.5        0.5        0.93415773 0.5       ],[0.         1.         0.         0.86363637 1.        ],[0.         0.26666668 0.         0.7037037  0.24719101],[0.         0.42105263 0.         0.7755102  0.3963964 ],0.5727272748947143,0.5627715528011322,0.24351227879524232,0.5868315458297729,0.31859184641139526
10,2,0.004,4,4,4,4,4,4,4,4,2,0.0,20,16,0.0,[0.80000001 0.85555559 0.62222224 0.24444444 0.24719101],[0.82754624 0.90909088 0.5        0.5        0.5       ],[0.83333331 1.         0.         1.         1.        ],[0.5        0.64864868 0.         0.24444444 0.24719101],[0.625      0.78688525 0.         0.39285714 0.3963964 ],0.7666666626930236,0.5538826614618302,0.32805682718753815,0.6473274230957031,0.44022775703103567
15,2,0.004,4,4,4,4,4,4,4,4,2,0.1,20,32,0.0,[0.81111115 0.26666668 0.75555557 0.24444444 0.67415732],[0.87229937 0.5        0.7904411  0.5        0.78358209],[0.72222221 1.         0.88235295 1.         1.        ],[0.51999998 0.26666668 0.625      0.24444444 0.43137255],[0.60465116 0.42105263 0.73170732 0.39285714 0.60273973],0.9209150314331055,0.5503870338201523,0.41749673187732694,0.6892645120620727,0.5506015960654711
27,2,0.004,5,5,5,5,5,5,5,5,2,0.0,20,32,0.0,[0.80000001 0.26666668 0.62222224 0.81111115 0.24719101],[0.5        0.5        0.5        0.86263371 0.5       ],[0.         1.         0.         0.90909094 1.        ],[0.         0.26666668 0.         0.5714286  0.24719101],[0.         0.42105263 0.         0.70175439 0.3963964 ],0.5818181872367859,0.5494382202625274,0.2170572578907013,0.5725267410278321,0.3038406827880512
26,2,0.004,5,5,5,5,5,5,5,5,2,0.0,20,16,0.0,[0.81111115 0.26666668 0.62222224 0.75555557 0.24719101],[0.88464504 0.5        0.5        0.8449198  0.5       ],[0.72222221 1.         0.         0.9545455  1.        ],[0.51999998 0.26666668 0.         0.5        0.24719101],[0.60465116 0.42105263 0.         0.65625    0.3963964 ],0.7353535413742065,0.5405493319034577,0.3067715346813202,0.6459129691123963,0.4156700381532083
2,2,0.007,4,4,4,4,4,4,4,4,2,0.0,20,16,0.0,[0.80000001 0.26666668 0.62222224 0.75555557 0.24719101],[0.5 0.5 0.5 0.5 0.5],[0. 1. 0. 0. 1.],[0.         0.26666668 0.         0.         0.24719101],[0.         0.42105263 0.         0.         0.3963964 ],0.4,0.5383271038532257,0.10277153849601746,0.5,0.16348980559506876
3,2,0.007,4,4,4,4,4,4,4,4,2,0.0,20,32,0.0,[0.85555559 0.26666668 0.74444449 0.24444444 0.24719101],[0.87577158 0.5        0.81880254 0.5        0.5       ],[0.77777779 1.         0.7647059  1.         1.        ],[0.60869569 0.26666668 0.63414639 0.24444444 0.24719101],[0.68292683 0.42105263 0.69333333 0.39285714 0.3963964 ],0.9084967374801636,0.4716604441404343,0.4002288430929184,0.6389148235321045,0.5173132666868225
